new_es_symbol,es_symbol,es_name,stage,qa_approved
F022AC001CA,F022AC001CA,Cryic Sandy Mountain Slopes ,Approved,yes
F022AC002CA,F022AC002CA,Cryic Sandy North Apsect Mountain Slopes ,Approved,yes
F022AC003CA,F022AC003CA,Frigid-Cryic Sandy Slopes ,Approved,yes
F022AC004CA,F022AC004CA,Cryic Very Gravelly Loamy Mountain Slopes ,Approved,yes
F022AC005CA,F022AC005CA,"Cryic Sheltered, Moist Sandy Mountain Slopes ",Approved,yes
F022AC006CA,F022AC006CA,Moderately Deep Cryic Sandy Till ,Approved,yes
F022AC007CA,F022AC007CA,North-Facing Cryic Loamy Mountain Slopes ,Approved,yes
F022AC008CA,F022AC008CA,Cryic Volcanic Mountain Slopes ,Approved,yes
F022AE007CA,F022AE007CA,"Frigid, Sandy, Moraines And Hill Slopes ",Approved,yes
F022AE008CA,F022AE008CA,Frigid Loamy Moraine Slopes ,Approved,yes
F022AE013CA,F022AE013CA,"Frigid, Loamy, Volcanic Mountain Slopes ",Approved,yes
F022AE025CA,F022AE025CA,Loamy Moist Outwash ,Approved,yes
F022AF001CA,F022AF001CA,Frigid Sandy Outwash Plain Gentle Slopes ,Approved,yes
F022AF002CA,F022AF002CA,"Frigid, Sandy, Or Loamy Outwash ",Approved,yes
F022AF003CA,F022AF003CA,"Frigid, Loamy, Fragipan, Outwash ",Approved,yes
F022AF004CA,F022AF004CA,"Frigid, Shallow To Deep, Sandy Mountain Slopes ",Approved,yes
F022AF005CA,F022AF005CA,"Frigid, Deep To Very Deep, Sandy-Loamy Mountain Slopes ",Approved,yes
F022AF006CA,F022AF006CA,Loamy Frigid Metamorphic Slopes ,Approved,yes
F022AX100CA,F022AX100CA,"Frigid, Sandy, Moist, Outwash Fan ",Approved,yes
F022AX101CA,F022AX101CA,Moist Colluvial Headwater System ,Approved,yes
F093AY001MN,F093AY001MN,Till Upland Mesic Hardwood Forests ,Approved,yes
F093AY002MN,F093AY002MN,Bedrock Controlled Upland Hardwood Forests ,Approved,yes
F093AY003MN,F093AY003MN,Depressional Wet Hardwood Forests ,Approved,yes
F094DY002WI,F094DY002WI,Poor Fens ,Approved,yes
F097XA006MI,F097XA006MI,Moist Acidic Sandy Flatwoods ,Approved,yes
F097XA007MI,F097XA007MI,Wet Acidic Sandy Flatwoods ,Approved,yes
F109XY009MO,F109XY009MO,Till Protected Backslope Forest ,Approved,yes
F109XY022MO,F109XY022MO,Till Exposed Backslope Woodland ,Approved,yes
F116CY002MO,F116CY002MO,Igneous Upland Woodland ,Approved,yes
F116CY003MO,F116CY003MO,Dry Igneous Upland Woodland ,Approved,yes
F121XY001KY,F121XY001KY,Shallow Limestone Residuum Backslopes ,Approved,yes
F121XY002KY,F121XY002KY,Moderately Deep Interbedded Limestone-Shale Backslopes ,Approved,yes
F127XY001WV,F127XY001WV,Spodic Shale Upland Conifer Forest ,Approved,yes
F127XY002WV,F127XY002WV,Spodic Intergrade Shale Upland Hardwood And Conifer Forest ,Approved,yes
F128XY001TN,F128XY001TN,Thermic Cherty Dolomite Upland Oak-Hickory Forest ,Approved,yes
F128XY002TN,F128XY002TN,Thermic Shallow Well Drained Alfic Limestone Uplands ,Approved,yes
F137XY001GA,F137XY001GA,Dry Sandy Upland Woodland ,Approved,yes
R010XB027OR,R010XB027OR,JD CLAYEY 12-16 PZ,Approved,yes
R010XC030OR,R010XC030OR,SR COOL 9-12 PZ,Approved,yes
R015XF002CA,R015XF002CA,Clayey Foothills ,Approved,yes
R015XF003CA,R015XF003CA,Very Shallow Loamy Foothills ,Approved,yes
R015XF004CA,R015XF004CA,Shallow Loamy Foothills ,Approved,yes
R015XF005CA,R015XF005CA,Steep Loamy Foothills ,Approved,yes
R018XI102CA,R018XI102CA,Thermic Ultramafic Foothills Extremely High Magnesium Content (Ca:Mg Ratio Less Than 0.5) ,Approved,yes
R018XI103CA,R018XI103CA,Thermic Ultramafic Foothills Moderately High Magnesium Content (Ca:Mg Ratio 0.5 To 2) ,Approved,yes
R022AA200CA,R022AA200CA,Alpine Scree ,Approved,yes
R022AA201CA,R022AA201CA,Sandy Shallow Alpine Mountain Slopes ,Approved,yes
R022AC200CA,R022AC200CA,High Elevation Volcanic Mountain Slopes ,Approved,yes
R022AE202CA,R022AE202CA,Granitic Pocket ,Approved,yes
DX032X01A122,R032XA122WY,Loamy (Ly) Big Horn Basin Core,Approved,yes
DX032X01B123,R032XB123WY,Loamy Calcareous Big Horn Basin Rim,Approved,yes
DX032X01B122,R032XB122WY,Loamy (Ly) Big Horn Basin Rim,Approved,yes
R034AC126WY,R034AC126WY,"Loamy, Calcareous (Pinedale Plateau)",Approved,yes
R060AY018SD,R060AY018SD,Dense Clay ,Approved,yes
R060AY022SD,R060AY022SD,Loamy Terrace ,Approved,yes
GX064X01X028,R064XY028NE,Loamy Terrace ,Approved,yes
R069XY006CO,R069XY006CO,"Loamy Plains, LRU's A & B 10-14 Inches, P.Z.",Approved,yes
R072XY105KS,R072XY105KS,Chalk Fans ,Approved,yes
R075XY050NE,R075XY050NE,Loamy Terrace ,Approved,yes
R075XY057NE,R075XY057NE,Clayey Plains ,Approved,yes
R075XY058NE,R075XY058NE,Loamy Plains ,Approved,yes
R075XY068NE,R075XY068NE,Loamy Floodplain ,Approved,yes
R075XY077NE,R075XY077NE,Shallow Limy ,Approved,yes
HX076XY103,R076XY103KS,Sodic Claypan ,Approved,yes
HX076XY115,R076XY115KS,Loamy Hills ,Approved,yes
